,n_trades,won,win_rate,roi,sharperatio,drawdown,currency1,currency2,ratio
0,18,11,61.11,10.85,2.95,6.92,MANAUSDT,SANDUSDT,0.8502317841435874
0,23,16,69.57,28.49,5.08,0.0,IOTAUSDT,ENJUSDT,0.5601463309662147
0,30,23,76.67,41.32,5.63,0.0,THETAUSDT,ALICEUSDT,0.6085776330076004
0,79,48,60.76,78.85,1.64,2.85,ENJUSDT,WAXPUSDT,5.473498233215548
0,68,36,52.94,90.08,2.93,2.16,ALICEUSDT,BAKEUSDT,7.675000000000001
0,33,23,69.7,52.56,1.89,0.09,THETAUSDT,ENJUSDT,2.41230901656983
0,26,18,69.23,35.92,3.68,5.18,IOTXUSDT,ALICEUSDT,0.0155374592833876
0,137,74,54.01,39.54,1.24,9.5,STMXUSDT,WAXPUSDT,0.0825206124852768
0,13,6,46.15,-39.93,-0.57,37.14,IOTXUSDT,TLMUSDT,1.2373540856031129
0,34,15,44.12,-14.6,-0.83,26.95,IOTAUSDT,ZENUSDT,0.0191116005873715
0,22,16,72.73,7.35,0.25,5.04,COMPUSDT,AAVEUSDT,0.6302354399008674
0,60,33,55.0,6.0,0.21,15.6,THETAUSDT,BAKEUSDT,4.670833333333333
